DATE CREATED
2020-11-25T06:12:32+10:00

ATTRIBUTION
http://www.aims.gov.au/docs/cc-attribution.html

DISCLAIMER
http://www.aims.gov.au/docs/disclaimer.html

PRIVACY
http://www.aims.gov.au/docs/privacy-policy.html

COPYRIGHT
http://www.aims.gov.au/docs/cc-copyright.html

COMMENT
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. "

SENSOR DEFINITIONS
"Omega Interchangeable Thermistors - ON-950-440005, 3000 Ohm @ 25 deg C #MYR2"

UOM DEFINITIONS
Degrees Celsius

STATION
Myrmidon Reef
LATITUDE
-18.274247
LONGITUDE
147.381736

Long term averages
DATE,TOTAL_YEARS,LONG_TERM_AVERAGE,wtemp_LEVEL1_summer_17_18,wtemp_LEVEL1_summer_18_19,wtemp_LEVEL1_summer_19_20
27-JAN,18,28.81424030037547,28.3949,28.2708,29.3665
28-JAN,15,28.808984700973575,28.411,28.3162,29.2976
29-JAN,15,28.883349582172702,28.517,28.2727,29.2938
30-JAN,15,28.842695530726257,28.632,28.2318,28.9667
31-JAN,15,28.877582402234637,28.6991,28.2948,29.1814
01-FEB,16,28.945763560500694,28.8499,28.3978,29.0401
02-FEB,16,28.911025641025642,28.8615,28.3315,28.9115
03-FEB,16,28.868028683181226,29.1542,28.3011,29.1656
04-FEB,17,28.950409560723514,29.2909,28.2556,29.3008
05-FEB,16,28.920860677083333,28.7658,28.2519,29.4939
06-FEB,16,28.983256510416666,28.5972,28.2347,29.6833
07-FEB,17,28.947868725868727,28.5643,28.419,29.8194
08-FEB,16,28.97439477124183,28.4281,28.3309,29.8441
09-FEB,16,28.974202684563757,28.2951,28.3492,29.9049
10-FEB,15,28.890121169916434,28.3444,28.7157,29.8665
11-FEB,15,28.862075418994415,28.4632,28.8551,29.7493
12-FEB,16,28.90428802153432,28.705,29.0365,29.6444
13-FEB,16,28.890255570117954,28.7722,29.1815,29.6725
14-FEB,16,28.868064304461942,28.8043,28.9708,29.9078
15-FEB,16,28.837777777777777,28.8506,28.4803,29.9245
16-FEB,16,28.77624836601307,28.9433,28.6549,29.1515
17-FEB,16,28.770149019607842,28.8795,28.9372,28.929
18-FEB,16,28.763989569752283,28.8465,28.9313,28.9108
19-FEB,16,28.79161668839635,29.1676,29.0383,29.6549
20-FEB,16,28.730470588235296,29.361,29.094,28.4995
21-FEB,16,28.691525691699606,29.0827,29.3845,29.1238
22-FEB,16,28.702737187910643,29.1904,29.2572,29.8472
23-FEB,16,28.671224250325945,29.0962,29.1697,29.5239
24-FEB,16,28.651327676240207,29.0292,29.2128,28.9872
25-FEB,16,28.6753864229765,29.0353,29.1605,28.9899
26-FEB,17,28.610108834827145,29.0515,28.7706,28.9032
27-FEB,17,28.596553921568628,29.0978,28.3144,28.9619
28-FEB,17,28.568751537515375,29.0123,28.0218,28.8372
29-FEB,4,28.227546875,,,29.073
01-MAR,17,28.563484662576688,28.8099,27.9067,29.1014
02-MAR,17,28.506285539215686,29.0334,27.8643,29.1077
03-MAR,18,28.48778736330498,29.2031,27.7477,29.2451
04-MAR,18,28.524927639383154,29.2173,27.7133,29.5726
05-MAR,18,28.535034843205576,29.3439,27.7138,30.1515
06-MAR,18,28.498903488372093,29.1799,27.7639,30.1342
07-MAR,18,28.53144097222222,29.0838,27.7098,30.021
08-MAR,18,28.511676744186047,28.9775,27.8835,30.0726
09-MAR,18,28.44116957026713,28.8649,28.0097,30.188
10-MAR,18,28.41171875,28.7571,27.9688,30.3088
11-MAR,18,28.396780092592593,28.6738,27.941,29.9196
12-MAR,18,28.413515046296297,28.4863,28.2217,29.5749
13-MAR,18,28.399293083235637,28.3423,28.2906,29.0744
14-MAR,18,28.331876157407407,28.3142,28.2549,28.9418
15-MAR,18,28.283063731170337,28.385,28.3442,28.7474
16-MAR,18,28.220054714784634,28.3514,28.3482,28.5515
17-MAR,18,28.22845486111111,28.2879,28.2729,28.3799
18-MAR,18,28.218293023255814,28.3068,28.2917,28.2492
19-MAR,18,28.190063905325445,28.2787,28.2808,27.9923
20-MAR,18,28.11033371958285,28.2558,28.4147,27.9456
21-MAR,18,28.1100741599073,28.2505,28.4594,27.8586
22-MAR,18,28.123435185185187,28.2444,28.2126,27.7641
23-MAR,18,28.11619279907085,28.2048,28.3456,27.7856
24-MAR,18,28.103182998819364,28.2309,28.3297,27.7524
25-MAR,17,28.10296,28.2143,28.4293,27.7173
26-MAR,17,28.101934809348094,28.1865,28.5992,27.6888
27-MAR,18,28.096939759036143,28.2431,28.5794,27.7136
28-MAR,18,28.11806674473068,28.2528,28.6334,27.7021
29-MAR,18,28.053132473622508,28.196,28.4903,27.6967
30-MAR,19,27.985142691415312,28.4215,28.4299,27.6328
31-MAR,19,27.97786562150056,28.3927,28.5174,27.5646
