DATE CREATED,,,,,
2020-11-25T06:07:06+10:00,,,,,
,,,,,
ATTRIBUTION,,,,,
http://www.aims.gov.au/docs/cc-attribution.html,,,,,
,,,,,
DISCLAIMER,,,,,
http://www.aims.gov.au/docs/disclaimer.html,,,,,
,,,,,
PRIVACY,,,,,
http://www.aims.gov.au/docs/privacy-policy.html,,,,,
,,,,,
COPYRIGHT,,,,,
http://www.aims.gov.au/docs/cc-copyright.html,,,,,
,,,,,
COMMENT,,,,,
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. ",,,,,
,,,,,
SENSOR DEFINITIONS,,,,,
MEA2173 SDI-12 Smart Temperature Sensor 8,,,,,
,,,,,
UOM DEFINITIONS,,,,,
Degrees Celsius,,,,,
,,,,,
STATION,,,,,
Lizard Island,,,,,
LATITUDE,,,,,
-14.68752,,,,,
15-Jan,9,28.7485819,28.8024,28.6081,29.8493
16-Jan,9,28.64008194,nan,28.3636,29.975
17-Jan,9,28.67888565,nan,28.3108,29.5836
18-Jan,9,28.69663426,nan,28.486,29.6006
19-Jan,9,28.73637847,nan,28.6422,29.7011
20-Jan,9,28.69603681,nan,28.4086,29.8086
21-Jan,9,28.70301991,nan,28.3683,29.9816
22-Jan,9,28.63672847,nan,28.2825,30.2487
23-Jan,9,28.7064713,nan,28.4882,30.6296
24-Jan,9,28.8237044,nan,28.686,30.5959
25-Jan,9,28.85162384,nan,28.5277,30.2684
26-Jan,9,28.98464236,nan,28.095,30.3468
27-Jan,9,29.09472088,nan,28.2307,30.3606
28-Jan,9,29.18848495,nan,28.491,29.9632
29-Jan,9,29.28170835,nan,28.3631,29.2712
30-Jan,9,29.30351253,nan,28.254,29.1507
31-Jan,9,29.31892014,nan,28.1812,29.0729
1-Feb,9,29.35211968,nan,28.0733,28.9285
2-Feb,9,29.35078403,nan,28.1449,28.7481
3-Feb,9,29.31680162,nan,28.215,28.6922
4-Feb,9,29.37041736,nan,28.0567,29.4486
5-Feb,9,29.35074653,nan,27.7872,29.6499
6-Feb,9,29.31162083,nan,27.7017,30.0448
7-Feb,9,29.28113828,nan,27.2239,30.1199
8-Feb,9,29.31101968,nan,27.4756,30.437
9-Feb,9,29.27148519,nan,27.5486,29.9425
10-Feb,9,29.23933449,nan,28.1057,29.7749
11-Feb,9,29.1852536,nan,28.5314,29.8254
12-Feb,9,29.23047889,nan,28.8768,29.743
13-Feb,9,29.23899167,nan,29.21,29.5343
14-Feb,9,29.26817819,nan,29.4106,29.3206
15-Feb,9,29.23584282,nan,29.3964,29.2773
